index,name,type,price,score,displacement,horsepower,torque,length,width,height,wheelbase,imgLink
1,雅阁 2022款 260TURBO 舒享版,中型车,16.98,4.49,1.5,194,260,4906,1862,1449,2830,https://p1-dcd.byteimg.com/img/motor-img/f974dc4060ed75347ec712525d041b11~noop.png
2,朗逸 2022款 1.5L 手动风尚版,小型车,11.39,4.04,1.5,113,145,4670,1806,1474,2688,https://p1-dcd.byteimg.com/img/motor-img/306ec26cd97a806c754f352ca3fc9e24~noop.png
3,思域 2022款 180TURBO CVT尚动版,小型车,12.99,4.34,1.5,129,180,4674,1802,1415,2735,https://p1-dcd.byteimg.com/img/motor-img/af835d978de92b8342d900c8473c8d88~noop.png
4,长安UNI-V 2022款 1.5T 卓越型,小型车,10.89,4.28,1.5,188,300,4680,1838,1430,2750,https://p1-dcd.byteimg.com/img/motor-img/0d4710a714c5c25fe9c61fb95986f388~noop.png
5,速腾 2022款 200TSI 手动飞越版,小型车,13.35,3.98,1.2,116,175,4753,1800,1462,2731,https://p1-dcd.byteimg.com/img/motor-img/44c013067df2032cc03b6031eb68bf05~noop.png
6,迈腾 2021款 330TSI DSG 30周年纪念版,中型车,23.33,4.04,2,186,320,4865,1832,1471,2871,https://p9-dcd.byteimg.com/img/motor-img/8c83328da3313b2982cff5ccd560e2f3~noop.png
7,星瑞 2021款 2.0T 豪华型+,小型车,13.27,4.09,2,190,300,4785,1869,1469,2800,https://p9-dcd.byteimg.com/img/motor-img/bacd9a4c46b190afeb32a87e687fecf6~noop.png
8,秦PLUS DM-i 2021款 DM-i 55KM 尊贵型,小型车,11.18,4.18,1.5,110,135,4765,1837,1495,2718,https://p1-dcd.byteimg.com/img/motor-img/e7b6b1423eea61437bff9142196585c9~noop.png
9,影豹 2022款 R-Style赛道版,小型车,13.68,4.37,1.5,177,270,4700,1850,1432,2736,https://p1-dcd.byteimg.com/img/motor-img/6c22c47efb2d835c96ebdb0e7001e28a~noop.png
10,卡罗拉 2021款 1.2T S-CVT先锋PLUS版,小型车,12.28,3.92,1.2,116,185,4635,1780,1455,2700,https://p9-dcd.byteimg.com/img/motor-img/b2fb8f96191b30a2992fc05fb5af0a4c~noop.png
11,凌渡 2022款 凌渡L 280TSI DSG热辣版,小型车,15.09,4.06,1.4,150,250,4784,1831,1469,2731,https://p1-dcd.byteimg.com/img/motor-img/ae40d0483339787e87eabcd7b1b95edf~noop.png
12,型格 2022款 240TURBO 专属MT版,小型车,12.99,4.17,1.5,182,240,4689,1802,1415,2735,https://p1-dcd.byteimg.com/img/motor-img/dc1a958b027ca6fabf2b2b0079940f29~noop.png
13,宝来 2021款 1.5L 手动时尚智联版,小型车,11.2,3.94,1.5,113,145,4663,1815,1462,2688,https://p1-dcd.byteimg.com/img/motor-img/1110b4ca6fe65b9a89c9630c46f112ea~noop.png
14,逸动 2022款 PLUS 1.6L GDI 手动精英型,小型车,7.29,3.88,1.6,128,161,4730,1820,1505,2700,https://p1-dcd.byteimg.com/img/motor-img/27cab33c1f4352c900d367741a8bafcf~noop.png
15,天籁 2021款 2.0L XE 时尚版,中型车,17.98,4.19,2,156,197,4901,1850,1450,2825,https://p1-dcd.byteimg.com/img/motor-img/9ba8ec7414fea05668d1b8cd7e26da46~noop.png
16,雷凌 2022款 185T CVT豪华版,小型车,12.98,3.95,1.2,116,185,4640,1780,1455,2700,https://p1-dcd.byteimg.com/img/motor-img/f9a2fab8c369a3e3ecd5fdf191f9efba~noop.png
17,领克03 2022款 1.5TD DCT劲Plus,小型车,13.68,4.18,1.5,180,265,4657,1840,1472,2730,https://p1-dcd.byteimg.com/img/motor-img/140ea9a8193b949ba1834ea05215a352~noop.png
19,迈锐宝XL 2022款 535T 自动锐行版,中型车,16.49,4.4,1.5,169,250,4933,1854,1472,2829,https://p1-dcd.byteimg.com/img/motor-img/8171a91a9f3017a9001e682797dc5f77~noop.png
20,红旗H5 2022款 1.5T DCT旗悦版,中型车,14.58,4.37,1.5,169,258,4945,1845,1470,2875,https://p1-dcd.byteimg.com/img/motor-img/17358d96b68c50ab91bf79f484925d80~noop.png
21,威朗 2022款 Pro 532T 乐行版,小型车,12.99,3.89,1.5,184,250,4664,1786,1472,2700,https://p1-dcd.byteimg.com/img/motor-img/483b3632a94e0153c29c1191020b9839~noop.png
22,缤瑞 2022款 缤瑞COOL 1.5T DCT风驰版,小型车,9.48,4.05,1.5,181,290,4710,1795,1455,2670,https://p1-dcd.byteimg.com/img/motor-img/00cf514e7ba331d7363fd2d470037d9e~noop.png
23,英仕派 2022款 260TURBO 典雅版,中型车,17.99,4.27,1.5,194,260,4924,1862,1449,2830,https://p1-dcd.byteimg.com/img/motor-img/829c6a04aca62dd3b24c123476ad43ed~noop.png
24,驱逐舰 05 2022款 DM-i 55KM 舒适型,小型车,11.98,4.04,1.5,110,135,4780,1837,1495,2718,https://p1-dcd.byteimg.com/img/motor-img/8fcc072ede0177d43701ab250cb64b7b~noop.png
25,马自达3 昂克赛拉 2021款 1.5L 手动质美版,小型车,11.59,4.45,1.5,117,148,4662,1797,1445,2726,https://p3-dcd.byteimg.com/img/motor-img/2ed9950bbf60e473727cf3735528e032~noop.png
26,奔驰A级 2022款 A 180 L,小型车,21.48,4.16,1.3,136,200,4622,1796,1459,2789,https://p1-dcd.byteimg.com/img/motor-img/bdeb84b9ae65b41f39ba686f2f747a4a~noop.png
27,高尔夫 2021款 200TSI DSG,小型车,12.98,4.13,1.2,116,200,4296,1788,1471,2636,https://p1-dcd.byteimg.com/img/motor-img/760b10bceee8879554a3cad1bcbf4b5e~noop.png
28,伊兰特 2022款 1.5L CVT GLS领先版,小型车,9.98,4.2,1.5,115,144,4680,1810,1415,2720,https://p1-dcd.byteimg.com/img/motor-img/09aea78a84b05afc2fbac4174fc15b1e~noop.png
29,帝豪L 雷神Hi・X 2022款 1.5TD-DHT Pro 100KM Super 净,小型车,12.98,4.2,1.5,181,290,4735,1815,1495,2700,https://p1-dcd.byteimg.com/img/motor-img/92f2c9929275e6d54b541c826a21e51b~noop.png
30,雅阁 2022款 260TURBO 舒享版,中型车,16.98,4.49,1.5,194,260,4906,1862,1449,2830,https://p3-dcd.byteimg.com/img/motor-img/f974dc4060ed75347ec712525d041b11~noop.png
31,奥迪A4L 2022款 35 TFSI 时尚动感型,中型车,30.68,4.48,2,150,270,4858,1847,1439,2908,https://p1-dcd.byteimg.com/img/motor-img/b9d9856f7ddc210dc2d7a5e20f3055a4~noop.png
32,奔驰C级 2022款 C 200 L 运动版,中型车,32.52,4.43,1.5,170,250,4882,1820,1456,2954,https://p9-dcd.byteimg.com/img/motor-img/384307383728c16c2ee56e29f7f5b891~noop.png
33,凯美瑞 2021款 2.0E 精英版,中型车,17.98,4.31,2,178,210,4885,1840,1455,2825,https://p1-dcd.byteimg.com/img/motor-img/46a9db48bccc28d5a4aadcbcf9b5df96~noop.png
34,蒙迪欧 2022款 EcoBoost 245 时尚型,中型车,15.98,4.02,2,238,376,4935,1875,1500,2945,https://p3-dcd.byteimg.com/img/motor-img/89e3909ed08a5cbe861bcf9ff9946ad7~noop.png
35,凯迪拉克CT5 2022款 28T 风尚型,中型车,27.97,4.52,2,237,350,4924,1883,1453,2947,https://p1-dcd.byteimg.com/img/motor-img/c68f0a5049df07beec63cb3dd61d1558~noop.png
37,迈腾 2021款 330TSI DSG 30周年纪念版,中型车,23.33,4.04,2,186,320,4865,1832,1471,2871,https://p1-dcd.byteimg.com/img/motor-img/8c83328da3313b2982cff5ccd560e2f3~noop.png
38,帕萨特 2022款 280TSI 商务版,中型车,18.19,4.17,1.4,150,250,4948,1836,1469,2871,https://p3-dcd.byteimg.com/img/motor-img/f32746d0db48f62928dcabff626330c3~noop.png
39,亚洲龙 2022款 2.0L 进取版,中型车,19.98,4.39,2,178,210,4990,1850,1450,2870,https://p1-dcd.byteimg.com/img/motor-img/e7857f1cf991c376307a893fc26e2cd1~noop.png
40,汉DM 2022款 DM-i 121KM尊贵型,大型车,21.58,4.29,1.5,139,231,4975,1910,1495,2920,https://p1-dcd.byteimg.com/img/motor-img/d0fd7da29eed3b2a3a8776bc19de0f52~noop.png
41,天籁 2021款 2.0L XE 时尚版,中型车,17.98,4.19,2,156,197,4901,1850,1450,2825,https://p1-dcd.byteimg.com/img/motor-img/9ba8ec7414fea05668d1b8cd7e26da46~noop.png
42,君威 2022款 552T 智享型,中型车,19.68,4.2,1.5,169,250,4904,1863,1461,2829,https://p1-dcd.byteimg.com/img/motor-img/f438ee5b94bf1a165ffc298c7aba19b4~noop.png
43,领克03 2022款 1.5TD DCT劲Plus,小型车,13.68,4.18,1.5,180,265,4657,1840,1472,2730,https://p1-dcd.byteimg.com/img/motor-img/140ea9a8193b949ba1834ea05215a352~noop.png
44,奥迪A3 2022款 Sportback 35 TFSI 进取致雅型,小型车,20.31,4.33,1.4,150,250,4343,1815,1458,2630,https://p1-dcd.byteimg.com/img/motor-img/597bca01c39b31ca3684c2af33300afa~noop.png
45,大众CC 2021款 330TSI 炫目版,中型车,24.99,4.51,2,186,320,4865,1870,1459,2841,https://p1-dcd.byteimg.com/img/motor-img/bc1a1cfcace04020b804932bd5c78749~noop.png
46,英仕派 2022款 260TURBO 典雅版,中型车,17.99,4.27,1.5,194,260,4924,1862,1449,2830,https://p1-dcd.byteimg.com/img/motor-img/829c6a04aca62dd3b24c123476ad43ed~noop.png
48,高尔夫 2021款 200TSI DSG,小型车,12.98,4.13,1.2,116,200,4296,1788,1471,2636,https://p1-dcd.byteimg.com/img/motor-img/760b10bceee8879554a3cad1bcbf4b5e~noop.png
49,林肯Z 2022款 i酷 尊悦版,中型车,25.28,4.23,2,246,376,4982,1865,1485,2930,https://p9-dcd.byteimg.com/img/motor-img/bcb66ab6c3d3d01477068d328fe05788~noop.png
50,君越 2022款 552T 豪华型,中型车,21.98,4.31,1.5,169,250,5026,1866,1459,2905,https://p1-dcd.byteimg.com/img/motor-img/ebc234b6062b18b6265efc4723f732ec~noop.png
51,凯迪拉克CT4 2022款 28T 风尚型,中型车,23.97,4.45,2,237,350,4760,1815,1421,2775,https://p1-dcd.byteimg.com/img/motor-img/a938601f104f4c69a99295b5c728c493~noop.png
52,沃尔沃S60 2022款 B3 智行豪华版,中型车,29.69,4.42,2,163,265,4761,1850,1437,2872,https://p3-dcd.byteimg.com/img/motor-img/32788e221ee9ce7bdc710115d84ba355~noop.png
53,捷豹XEL 2021款 2.0T 200PS R-DYNAMIC 青春运动版,中型车,29.98,4.57,2,200,320,4778,1850,1429,2935,https://p1-dcd.byteimg.com/img/motor-img/4ed25584673478bb253640103995b474~noop.png
54,阿特兹 2021款 2.0L 蓝天时尚版,中型车,17.58,4.4,2,158,202,4870,1840,1445,2830,https://p3-dcd.byteimg.com/img/motor-img/23dae7287112eed1cb699aa22646497f~noop.png
55,奔驰CLA级 2022款 CLA 200 四门轿跑车,小型车,29.98,4.62,1.3,163,250,4692,1830,1422,2729,https://p1-dcd.byteimg.com/img/motor-img/2697f3fcb38c3ce604ad4408ffb0f115~noop.png
56,捷尼赛思G70 2023款 2.0T 后驱豪华版,中型车,25.08,4.48,2,245,353,4700,1850,1400,2835,https://p1-dcd.byteimg.com/img/motor-img/e0189a3f960c5144e012b6369a5432ab~noop.png
57,标致508L 2022款 360THP PureTech 先锋版,中型车,15.97,4.17,1.6,170,250,4870,1855,1455,2848,https://p1-dcd.byteimg.com/img/motor-img/304dff8a7af711897b242f6a59961fdb~noop.png
59,MINI 2022款 1.5T COOPER The Coopers 纪念版,小型车,25.49,4.09,1.5,136,220,3832,1727,1451,2495,https://p1-dcd.byteimg.com/img/motor-img/920a9fd8dc12065369016a002c651f6d~noop.png
60,奥迪A4L 2022款 35 TFSI 时尚动感型,中型车,30.68,4.48,2,150,270,4858,1847,1439,2908,https://p1-dcd.byteimg.com/img/motor-img/b9d9856f7ddc210dc2d7a5e20f3055a4~noop.png
61,宝马3系 2022款 改款 320i 运动套装,中型车,29.39,4.47,2,156,250,4719,1827,1459,2851,https://p1-dcd.byteimg.com/img/motor-img/f17f0d33c35bc994f9cdf4202235e999~noop.png
62,奥迪A6L 2022款 40 TFSI 豪华致雅型,大型车,41.98,4.44,2,190,320,5038,1886,1475,3024,https://p1-dcd.byteimg.com/img/motor-img/b247fab14141e0b59eeee709bdbdea7b~noop.png
63,奔驰E级 2022款 改款 E 260 L 轿车,大型车,43.81,4.38,2,197,320,5078,1860,1480,3079,https://p3-dcd.byteimg.com/img/motor-img/70261eb4cd2f0b38cc2f7da9dfff9d55~noop.png
64,凯迪拉克CT5 2022款 28T 风尚型,中型车,27.97,4.52,2,237,350,4924,1883,1453,2947,https://p1-dcd.byteimg.com/img/motor-img/c68f0a5049df07beec63cb3dd61d1558~noop.png
66,汉DM 2022款 DM-i 121KM尊贵型,大型车,21.58,4.29,1.5,139,231,4975,1910,1495,2920,https://p1-dcd.byteimg.com/img/motor-img/d0fd7da29eed3b2a3a8776bc19de0f52~noop.png
67,雷克萨斯ES 2021款 200 卓越版,大型车,29.49,4.64,2,173,208,4975,1866,1447,2870,https://p9-dcd.byteimg.com/img/motor-img/4782a535c22599dc9b9b6b651f99280c~noop.png
70,林肯Z 2022款 i酷 尊悦版,中型车,25.28,4.23,2,246,376,4982,1865,1485,2930,https://p3-dcd.byteimg.com/img/motor-img/bcb66ab6c3d3d01477068d328fe05788~noop.png
71,红旗H9 2022款 2.0T 智联旗悦版,大型车,30.98,4.54,2,252,380,5137,1904,1493,3060,https://p1-dcd.byteimg.com/img/motor-img/1371ea9d22ccda63f34ddd383d2a0e26~noop.png
72,凯迪拉克CT6 2022款 28T 风尚型,大型车,39.97,4.57,2,237,350,5223,1879,1492,3109,https://p1-dcd.byteimg.com/img/motor-img/465dc01d72c16442b9cf89925c76c322~noop.png
73,沃尔沃S60 2022款 B3 智行豪华版,中型车,29.69,4.42,2,163,265,4761,1850,1437,2872,https://p1-dcd.byteimg.com/img/motor-img/32788e221ee9ce7bdc710115d84ba355~noop.png
74,捷豹XEL 2021款 2.0T 200PS R-DYNAMIC 青春运动版,中型车,29.98,4.57,2,200,320,4778,1850,1429,2935,https://p1-dcd.byteimg.com/img/motor-img/4ed25584673478bb253640103995b474~noop.png
75,奥迪A5 2022款 Sportback 40 TFSI 时尚致雅型,中型车,37.98,4.58,2,204,320,4757,1843,1358,2826,https://p1-dcd.byteimg.com/img/motor-img/4489fc96e9e7009ef09e34fde126ed7d~noop.png
77,沃尔沃S90 2022款 B5 智逸豪华版,大型车,40.69,4.35,2,250,350,5090,1879,1450,3061,https://p1-dcd.byteimg.com/img/motor-img/3878a4c3d95de8876266901f71951479~noop.png
78,宝马4系 2022款 425i M运动套装,中型车,36.38,4.58,2,184,300,4773,1852,1395,2851,https://p1-dcd.byteimg.com/img/motor-img/df42521363e25dee8626c4a6cea12f8a~noop.png
79,捷豹XFL 2021款 2.0T P200 两驱精英豪华版,大型车,39.98,4.53,2,200,320,5102,1880,1456,3100,https://p1-dcd.byteimg.com/img/motor-img/190c57af7bbbeef1fe4d861898bc4fb0~noop.png
80,捷尼赛思G70 2023款 2.0T 后驱豪华版,中型车,25.08,4.48,2,245,353,4700,1850,1400,2835,https://p1-dcd.byteimg.com/img/motor-img/e0189a3f960c5144e012b6369a5432ab~noop.png
81,辉昂 2021款 380TSI 豪华版,大型车,34.3,3.97,2,224,350,5074,1893,1489,3009,https://p1-dcd.byteimg.com/img/motor-img/83ea15115e6f0f60f15837da6dea8470~noop.png
82,宝马2系 2022款 225i M运动曜夜套装,小型车,29.98,4.22,2,184,300,4556,1838,1405,2741,https://p9-dcd.byteimg.com/img/motor-img/c20997daba894d288cad8732dd73f755~noop.png
83,奔驰E级(进口) 2021款 改款 E 260 轿跑车,大型车,53.08,4.4,2,197,320,4846,1860,1434,2873,https://p9-dcd.byteimg.com/img/motor-img/2e9cf95e5f1de1ac45aa0135c5a76b1e~noop.png
84,奔驰C级(进口) 2022款 改款 C 200 轿跑车,中型车,35.08,4.35,1.5,156,250,4698,1810,1408,2840,https://p1-dcd.byteimg.com/img/motor-img/c502719d3259c47e79d0ea37d90071f4~noop.png
86,MINI 2022款 1.5T COOPER The Coopers 纪念版,小型车,25.49,4.09,1.5,136,220,3832,1727,1451,2495,https://p3-dcd.byteimg.com/img/motor-img/920a9fd8dc12065369016a002c651f6d~noop.png
87,捷尼赛思G80 2023款 2.5T 两驱豪华版,大型车,36.38,4.4,2.5,304,422,4995,1925,1465,3010,https://p1-dcd.byteimg.com/img/motor-img/fd893b80e9798fcf63d7ab84652e5a00~noop.png
88,奥迪A4(进口) 2022款 Avant 40 TFSI 时尚致雅型,中型车,35.98,4.45,2,204,320,4762,1847,1459,2822,https://p9-dcd.byteimg.com/img/motor-img/6594c76eeb470238b9bb8512c3f9a22c~noop.png
90,奥迪A6L 2022款 40 TFSI 豪华致雅型,大型车,41.98,4.44,2,190,320,5038,1886,1475,3024,https://p1-dcd.byteimg.com/img/motor-img/b247fab14141e0b59eeee709bdbdea7b~noop.png
91,宝马5系 2022款 改款 525Li 豪华套装,大型车,42.89,4.44,2,184,290,5106,1868,1500,3105,https://p1-dcd.byteimg.com/img/motor-img/10ce6135622d78fc875b3b3f0ba8fce8~noop.png
92,红旗H9 2022款 2.0T 智联旗悦版,大型车,30.98,4.54,2,252,380,5137,1904,1493,3060,https://p1-dcd.byteimg.com/img/motor-img/1371ea9d22ccda63f34ddd383d2a0e26~noop.png
93,奔驰S级 2022款 S 400 L 商务型,大型车,91.78,4.47,2.5,313,450,5290,1921,1503,3216,https://p1-dcd.byteimg.com/img/motor-img/c421ada55e9739c18fc4e6ff7992c056~noop.png
94,Panamera 2023款 Panamera 2.9T,大型车,99.8,4.62,2.9,330,450,5049,1937,1423,2950,https://p1-dcd.byteimg.com/img/motor-img/e33997827ea9ff7a0acbd2980be3e0d8~noop.png
95,奥迪A5 2022款 Sportback 40 TFSI 时尚致雅型,中型车,37.98,4.58,2,204,320,4757,1843,1358,2826,https://p1-dcd.byteimg.com/img/motor-img/4489fc96e9e7009ef09e34fde126ed7d~noop.png
96,宝马7系 2021款 730Li 豪华套装,大型车,82.8,4.51,2,265,400,5273,1902,1498,3210,https://p1-dcd.byteimg.com/img/motor-img/fcb0abf30a0d03191754d387f887fa91~noop.png
97,奥迪A7 2022款 40 TFSI 豪华型,大型车,58.58,4.73,2,190,320,4976,1908,1405,2928,https://p1-dcd.byteimg.com/img/motor-img/a3e7a39f0d04bfb1f01b43e0e6cae726~noop.png
98,宝马4系 2022款 425i M运动套装,中型车,36.38,4.58,2,184,300,4773,1852,1395,2851,https://p1-dcd.byteimg.com/img/motor-img/df42521363e25dee8626c4a6cea12f8a~noop.png
